GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
310M300US30460,30460,"Lexington-Fayette, KY Metro Area",195955,1199,51933,693,1.4,0.2,35279,4301,122888,1157,67431,1140,44.8,0.8,63795,1731,55.2,0.8,69933,1362,72.4,0.9,82483,1391,20.5,0.8,28052,1303,7.2,0.5,41314,2235,73067,1309,31593,581,53.7,1.1,28189,1148,43.5,1.2,26045,811,10.2,0.7,41580,4011,46.3,1.1,36130,1180,32.9,1.1,31784,1127,13.3,1.0,50242,3192
310M300US30620,30620,"Lima, OH Metro Area",40039,527,45575,1458,0.6,0.3,60808,13927,26008,555,57101,1292,42.5,1.3,54284,3471,57.5,1.3,58942,1673,71.2,1.6,69344,1513,21.8,1.3,26257,2803,7.1,1.2,43231,7545,14031,557,24651,1705,51.7,2.3,21817,1046,44.4,2.1,20324,1272,7.3,1.6,51224,9013,48.3,2.3,30581,3051,38.8,2.4,24513,3470,9.5,1.8,51569,5596
310M300US30700,30700,"Lincoln, NE Metro Area",125602,626,54168,855,1.0,0.2,35000,7965,76092,907,72700,1099,45.6,0.8,67287,2155,54.4,0.8,75474,1496,77.7,1.0,85351,1210,15.7,0.8,29058,1606,6.6,0.5,42507,3236,49510,967,32287,902,51.8,1.2,27881,1404,41.0,1.2,25599,749,10.8,0.9,43692,4769,48.2,1.2,36856,893,35.0,1.1,31193,1405,13.1,1.0,55596,3776
310M300US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",278116,1728,50252,557,0.7,0.1,40712,12398,179704,1988,63195,890,42.6,0.7,59314,2141,57.4,0.7,65863,1180,72.1,0.7,77869,1034,21.2,0.6,31606,1022,6.7,0.5,42067,2903,98412,2055,30693,756,53.3,1.1,27539,1137,46.7,1.1,25519,931,6.6,0.6,46714,4272,46.7,1.1,34551,1937,37.7,1.0,30648,932,9.0,0.7,52137,4046
310M300US30860,30860,"Logan, UT-ID Metro Area",40319,430,51777,1169,2.8,0.4,46860,4334,30194,526,60417,1492,51.0,1.3,58315,2545,49.0,1.3,62449,2035,86.9,1.1,64510,1388,9.6,1.0,28930,1935,3.5,0.6,51534,4659,10125,488,28193,2147,51.9,2.7,27200,2230,37.4,2.5,24515,1373,14.5,2.2,38313,4254,48.1,2.7,29586,3986,33.2,3.0,25353,2293,14.9,2.2,45776,10601
310M300US30980,30980,"Longview, TX Metro Area",77182,866,47301,1234,1.1,0.3,38098,12545,53245,1163,56890,1739,42.6,1.1,51671,2380,57.4,1.1,60047,2290,71.5,1.4,69647,1903,21.3,1.2,24908,2956,7.2,0.8,40387,3450,23937,1025,26714,1201,53.0,2.1,22934,1343,46.4,2.1,21454,1287,6.6,1.3,51085,9562,47.0,2.1,32007,2129,39.2,2.0,29986,3005,7.8,1.1,48153,6878
310M300US31020,31020,"Longview, WA Metro Area",39671,505,49127,1347,1.0,0.3,35964,10190,26092,644,59350,2038,39.1,1.6,58140,3776,60.9,1.6,60144,2334,76.0,1.7,70078,2245,17.0,1.6,22900,4116,7.0,1.1,41211,5452,13579,588,26411,1515,52.1,2.5,23344,1530,43.4,2.3,21559,1875,8.7,1.6,33102,2990,47.9,2.5,32085,3022,36.8,2.5,28544,3236,11.1,1.9,49840,12980
310M300US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",4298857,6559,62216,202,13.5,0.1,45358,362,2929987,9247,70221,344,44.8,0.2,63083,548,55.2,0.2,75387,386,69.1,0.2,87255,423,21.4,0.2,39594,402,9.5,0.1,49977,660,1368870,6290,42482,314,52.4,0.2,37099,399,42.2,0.3,30990,301,10.2,0.2,70455,1211,47.6,0.2,49910,570,34.8,0.2,40946,367,12.8,0.2,78036,1369
310M300US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",497174,1913,52437,423,0.5,0.1,40333,6695,318689,2092,66587,671,42.2,0.4,64759,1248,57.8,0.4,67636,813,71.5,0.5,81534,660,20.9,0.4,32486,789,7.6,0.3,45544,1811,178485,2314,31145,422,54.0,0.6,27803,772,46.5,0.7,25226,498,7.5,0.4,54161,2275,46.0,0.6,36052,722,37.0,0.6,31147,755,9.0,0.4,58958,3642
310M300US31180,31180,"Lubbock, TX Metro Area",113291,1106,46632,669,6.4,0.6,39702,3765,71250,1250,58486,1590,45.1,1.0,52618,3145,54.9,1.0,62909,2168,68.8,1.1,74883,1950,22.8,1.0,29655,2158,8.4,0.7,40474,3949,42041,1052,29327,987,51.6,1.7,27329,1090,41.0,1.5,25859,1172,10.6,1.0,32986,2579,48.4,1.7,31600,1356,34.8,1.7,30419,1823,13.6,1.3,36935,4844
